event	role	p1	early_p1	eligible_p1	pool_p1	early_count	eligible_count	pool_count	remaining_min	remaining_max	truth
196764	1	49	49	25	25	0	2	2	36	44	0
196765	1	1715	1715	858	858	0	2	2	35	43	0
196766	1	65432	65432	65484	65484	0	2	2	34	42	1
196767	1	64408	64408	64972	64972	0	2	2	33	41	1
196768	1	67	67	34	34	0	2	2	32	40	0
196769	1	65451	65451	65493	65493	0	2	2	31	39	1
196770	1	65492	65492	65514	65514	0	2	2	30	38	1
196771	1	65336	65336	65436	65436	0	2	2	29	37	1
196772	1	33	33	17	17	0	2	2	28	36	0
196773	1	65449	65449	65492	65492	0	2	2	27	35	1
196774	1	27	27	14	14	0	2	2	26	34	0
196775	1	35	35	18	18	0	2	2	25	33	0
196776	1	44516	44516	38643	38643	0	2	2	24	32	1
196777	1	65500	65500	65518	65518	0	1	1	23	23	1
196778	1	64540	64540	65038	65038	0	1	1	22	22	1
196779	1	64484	64484	65010	65010	0	1	1	21	21	1
196780	1	3063	3063	1532	1532	0	1	1	20	20	0
196781	1	64502	64502	65019	65019	0	1	1	19	19	1
196782	1	1127	1127	564	564	0	1	1	18	18	0
196783	1	2429	2429	1215	1215	0	1	1	17	17	1
197408	1	225	225	225	113	0	0	1	88	88	0
197409	1	65519	65519	65519	65527	0	0	1	87	87	1
197410	1	65509	65509	65509	65522	0	0	1	86	86	1
197411	1	10199	10199	10199	5100	0	0	1	85	85	1
202032	1	31	31	31	16	0	0	2	32	48	0
202033	1	64270	64270	64270	64903	0	0	2	31	47	1
202034	1	65469	65469	65469	65502	0	0	2	30	46	1
202035	1	6333	6333	6333	3167	0	0	2	29	45	0
202036	1	20201	20201	20201	10101	0	0	2	28	44	0
202037	1	29497	29497	29497	31133	0	0	2	27	43	0
202038	1	135	135	135	68	0	0	1	26	26	0
202039	1	65535	65535	65535	65535	0	0	1	25	25	1
202040	1	33	33	33	17	0	0	1	24	24	0
202041	1	64752	64752	64752	65144	0	0	1	23	23	1
202042	1	64544	64544	64544	65040	0	0	1	22	22	1
202043	1	20557	20557	20557	10279	0	0	1	21	21	0
202044	1	36982	36982	36982	18492	0	0	1	20	20	1
202240	1	33	33	33	17	0	0	1	40	40	0
202241	1	63866	63866	63866	64701	0	0	1	39	39	0
202272	1	147	147	147	74	0	0	1	16	16	0
202273	1	64060	64060	64060	64798	0	0	1	15	15	1
202274	1	65517	65517	65517	65526	0	0	1	14	14	1
202275	1	10047	10047	10047	5024	0	0	1	13	13	0
202276	1	19769	19769	19769	9885	0	0	1	12	12	1
212992	1	77	77	77	39	0	0	1	40	40	0
212993	1	61554	61554	61554	63545	0	0	1	39	39	1
212994	1	65492	65492	65492	65514	0	0	1	38	38	1
212995	1	5823	5823	5823	2912	0	0	1	37	37	0
212996	1	17749	17749	17749	8875	0	0	1	36	36	0
212997	1	9293	9293	9293	4647	0	0	1	35	35	0
212998	1	33688	33688	33688	49612	0	0	1	34	34	1
212999	1	65316	65316	65316	65426	0	0	1	33	33	0
225224	1	157	157	157	79	0	0	1	72	72	0
225225	1	61784	61784	61784	63660	0	0	1	71	71	1
225226	1	65080	65080	65080	65308	0	0	1	70	70	1
225227	1	17731	17731	17731	41633	0	0	1	69	69	1
225228	1	14167	14167	14167	7084	0	0	1	68	68	1
226144	1	99	99	99	50	0	0	2	32	48	0
226145	1	62634	62634	62634	64085	0	0	2	31	47	1
226146	1	65472	65472	65472	65504	0	0	2	30	46	1
226147	1	5459	5459	5459	2730	0	0	2	29	45	0
226148	1	17739	17739	17739	8870	0	0	2	28	44	0
226149	1	42806	42806	42806	37788	0	0	2	27	43	1
226150	1	129	129	129	65	0	0	1	42	42	0
226151	1	65507	65507	65507	65521	0	0	1	41	41	1
226152	1	223	223	223	112	0	0	1	40	40	0
226153	1	63922	63922	63922	64729	0	0	1	39	39	1
226154	1	65218	65218	65218	65377	0	0	1	38	38	1
226155	1	7509	7509	7509	3755	0	0	1	37	37	0
226156	1	46664	46664	46664	23333	0	0	1	36	36	1
229712	1	35	35	35	18	0	0	1	24	24	0
229713	1	60980	60980	60980	63258	0	0	1	23	23	1
229714	1	64408	64408	64408	64972	0	0	1	22	22	1
229715	1	195	195	195	98	0	0	1	21	21	0
229716	1	64830	64830	64830	65183	0	0	1	20	20	1
229717	1	133	133	133	67	0	0	1	19	19	0
229718	1	139	139	139	70	0	0	1	18	18	0
229719	1	65480	65480	65480	65508	0	0	1	17	17	1
229720	1	39	39	39	20	0	0	1	16	16	0
229721	1	65488	65488	65488	65512	0	0	1	15	15	1
229722	1	65507	65507	65507	65521	0	0	1	14	14	1
229723	1	65072	65072	65072	65304	0	0	1	13	13	1
229724	1	185	185	185	93	0	0	1	12	12	0
229725	1	483	483	483	242	0	0	1	11	11	0
229726	1	65500	65500	65500	65518	0	0	1	10	10	1
229727	1	65507	65507	65507	65521	0	0	1	9	9	1
229728	1	55	55	55	28	0	0	1	8	8	0
229729	1	65502	65502	65502	65519	0	0	1	7	7	1
229730	1	65502	65502	65502	65519	0	0	1	6	6	1
229731	1	59772	59772	59772	62654	0	0	1	5	5	0
231944	1	365	365	183	183	0	1	1	96	96	0
231945	1	50810	50810	58173	58173	0	1	1	95	95	1
231946	1	65294	65294	65415	65415	0	1	1	94	94	1
231947	1	13985	13985	6993	6993	0	1	1	93	93	0
231948	1	33688	33688	16845	16845	0	1	1	92	92	0
231949	1	27373	27373	13687	13687	0	1	1	91	91	1
244536	1	279	279	140	140	0	1	1	96	96	0
244537	1	60574	60574	63055	63055	0	1	1	95	95	1
244538	1	65445	65445	65490	65490	0	1	1	94	94	1
244539	1	4625	4625	2313	2313	0	1	1	93	93	0
244540	1	55396	55396	27699	27699	0	1	1	92	92	1
248048	1	475	475	238	238	0	1	1	96	96	0
248049	1	59060	59060	62298	62298	0	1	1	95	95	0
257328	1	61	61	61	31	0	0	1	16	16	0
257329	1	59366	59366	59366	62451	0	0	1	15	15	1
257330	1	65490	65490	65490	65513	0	0	1	14	14	1
257331	1	9263	9263	9263	4632	0	0	1	13	13	0
257332	1	26247	26247	26247	13124	0	0	1	12	12	0
257333	1	33366	33366	33366	49451	0	0	1	11	11	1
257334	1	45	45	45	23	0	0	1	10	10	0
257335	1	65502	65502	65502	65519	0	0	1	9	9	1
257336	1	101	101	101	51	0	0	1	8	8	0
257337	1	60482	60482	60482	63009	0	0	1	7	7	0
284768	1	239	239	239	120	0	0	1	40	40	0
284769	1	65486	65486	65486	65511	0	0	1	39	39	1
284770	1	65469	65469	65469	65502	0	0	1	38	38	1
284771	1	14451	14451	14451	7226	0	0	1	37	37	1
332416	0	9	9	9	5	0	0	1	32	32	0
332417	0	65	65	65	32800	0	0	1	31	31	0
465280	1	177	177	177	89	0	0	1	56	56	0
465281	1	63318	63318	63318	64427	0	0	1	55	55	1
465282	1	64808	64808	64808	65172	0	0	1	54	54	1
465283	1	14181	14181	14181	39858	0	0	1	53	53	0
485368	0	11	11	11	6	0	0	1	32	32	0
485369	0	83	83	83	32809	0	0	1	31	31	0
496896	0	133	67	67	67	1	2	4	24	56	0
496897	0	65515	65525	65525	65525	1	2	4	23	55	1
496898	0	65507	65521	65521	65521	1	2	4	22	54	1
496899	0	29837	14919	14919	14919	1	2	4	21	53	0
496900	0	49876	57706	41323	41323	1	2	4	20	52	1
496901	0	61598	63567	63567	63567	1	1	2	51	51	1
496902	0	36150	18076	18076	18076	1	1	2	50	50	0
496903	0	17543	8772	8772	8772	1	1	2	49	49	1
515000	0	39	20	20	20	1	2	4	24	56	0
515001	0	65507	65521	65521	65521	1	2	4	23	55	1
515002	0	65525	65530	65530	65530	1	2	4	22	54	1
515003	0	24365	12183	12183	12183	1	2	4	21	53	0
515004	0	58444	61990	45607	45607	1	2	4	20	52	0
515005	0	38384	38384	51960	35577	0	1	2	19	19	1
515006	0	28523	28523	14262	14262	0	1	1	18	18	0
515007	0	7809	7809	3905	3905	0	1	1	17	17	0
515008	0	55	55	28	28	0	1	1	16	16	0
515009	0	59680	59680	62608	62608	0	1	1	15	15	1
515010	0	58520	58520	29261	29261	0	1	1	14	14	1
526600	0	33	17	17	17	1	2	4	24	56	0
526601	0	65494	65515	65515	65515	1	2	4	23	55	1
526602	0	65513	65524	65524	65524	1	2	4	22	54	1
526603	0	49898	24950	24950	24950	1	2	4	21	53	1
526712	0	39	20	20	20	1	2	4	24	56	0
526713	0	65519	65527	65527	65527	1	2	4	23	55	1
526714	0	65521	65528	65528	65528	1	2	4	22	54	1
526715	0	63930	31966	31966	31966	1	2	4	21	53	1
527256	1	21	21	21	11	0	0	1	24	24	0
527257	1	49672	49672	49672	57604	0	0	1	23	23	1
527258	1	293	293	293	147	0	0	1	22	22	0
527259	1	65476	65476	65476	32739	0	0	1	21	21	1
530912	1	27	27	27	14	0	0	1	24	24	0
530913	1	60856	60856	60856	63196	0	0	1	23	23	1
530914	1	709	709	709	355	0	0	1	22	22	0
530915	1	65274	65274	65274	32638	0	0	1	21	21	1
531688	1	21	21	21	11	0	0	1	24	24	0
531689	1	63352	63352	63352	64444	0	0	1	23	23	1
531690	1	4795	4795	4795	2398	0	0	1	22	22	0
531691	1	65505	65505	65505	32753	0	0	1	21	21	1
589632	1	29	29	29	15	0	0	1	48	48	0
589633	1	65525	65525	65525	65530	0	0	1	47	47	1
589634	1	65502	65502	65502	65519	0	0	1	46	46	1
589635	1	44444	44444	44444	22223	0	0	1	45	45	0
589636	1	37492	37492	37492	51514	0	0	1	44	44	1
589637	1	49318	49318	49318	57427	0	0	1	43	43	1
589638	1	25989	25989	25989	12995	0	0	1	42	42	0
589639	1	6269	6269	6269	3135	0	0	1	41	41	0
589640	1	55	55	55	28	0	0	1	40	40	0
589641	1	63812	63812	63812	64674	0	0	1	39	39	1
589642	1	37726	37726	37726	51631	0	0	1	38	38	1
589643	1	10003	10003	10003	5002	0	0	1	37	37	1
604200	0	37	19	19	19	1	1	5	24	64	0
604201	0	65156	65346	65346	65346	1	1	5	23	63	1
604202	0	65463	65499	65499	65499	1	1	5	22	62	1
604203	0	21999	11000	11000	11000	1	1	5	21	61	0
604204	0	50430	57983	57983	44876	1	1	5	20	60	0
604205	0	28993	28993	28993	30881	0	0	2	19	19	0
604206	0	40172	40172	40172	20087	0	0	1	18	18	1
615344	0	19	10	10	10	1	1	5	24	64	0
615345	0	65517	65526	65526	65526	1	1	5	23	63	1
615346	0	65517	65526	65526	65526	1	1	5	22	62	1
615347	0	3753	1877	1877	1877	1	1	5	21	61	0
615348	0	61610	63573	63573	50466	1	1	5	20	60	1
615349	0	64098	64817	64817	64817	1	1	3	51	59	1
615350	0	1109	555	555	555	1	1	3	50	58	0
615351	0	579	290	290	290	1	1	3	49	57	0
615352	0	19	10	10	10	1	1	3	48	56	0
615353	0	2015	33775	33775	33775	1	1	3	47	55	0
616520	0	15	8	8	8	1	1	5	24	64	0
616521	0	65505	65520	65520	65520	1	1	5	23	63	1
616522	0	65521	65528	65528	65528	1	1	5	22	62	1
616523	0	5805	2903	2903	2903	1	1	5	21	61	0
616524	0	59164	62350	62350	49243	1	1	5	20	60	1
616525	0	64180	64858	64858	64858	1	1	3	51	59	1
616526	0	787	394	394	394	1	1	3	50	58	0
616527	0	969	485	485	485	1	1	3	49	57	0
616528	0	13	7	7	7	1	1	3	48	56	0
616529	0	2083	33809	33809	33809	1	1	3	47	55	0
623664	1	41	41	21	21	0	1	1	48	48	0
623665	1	65250	65250	65393	65393	0	1	1	47	47	1
623666	1	65428	65428	65482	65482	0	1	1	46	46	1
623667	1	59828	59828	62682	62682	0	1	1	45	45	1
623668	1	125	125	63	63	0	1	1	44	44	0
623669	1	1325	1325	663	663	0	1	1	43	43	0
623670	1	65513	65513	65524	65524	0	1	1	42	42	1
623671	1	269	269	135	135	0	1	1	41	41	0
623672	1	17	17	9	9	0	1	1	40	40	0
623673	1	65378	65378	65457	65457	0	1	1	39	39	1
623674	1	65507	65507	65521	65521	0	1	1	38	38	1
623675	1	62642	62642	64089	64089	0	1	1	37	37	1
623676	1	289	289	145	145	0	1	1	36	36	0
623677	1	65424	65424	65480	65480	0	1	1	35	35	1
623678	1	47	47	24	24	0	1	1	34	34	0
623679	1	65523	65523	65529	65529	0	1	1	33	33	1
623680	1	15	15	8	8	0	1	1	32	32	0
623681	1	65214	65214	65375	65375	0	1	1	31	31	1
623682	1	65348	65348	65442	65442	0	1	1	30	30	1
623683	1	451	451	226	226	0	1	1	29	29	0
623684	1	987	987	494	494	0	1	1	28	28	0
623685	1	251	251	126	126	0	1	1	27	27	0
623686	1	65416	65416	65476	65476	0	1	1	26	26	1
623687	1	65484	65484	65510	65510	0	1	1	25	25	1
623688	1	23	23	12	12	0	1	1	24	24	0
623689	1	65490	65490	65513	65513	0	1	1	23	23	1
623690	1	65490	65490	65513	65513	0	1	1	22	22	1
623691	1	85	85	43	43	0	1	1	21	21	0
623692	1	65457	65457	65496	65496	0	1	1	20	20	1
623693	1	69	69	35	35	0	1	1	19	19	0
623694	1	41	41	21	21	0	1	1	18	18	0
623695	1	65406	65406	65471	65471	0	1	1	17	17	1
623696	1	19	19	10	10	0	1	1	16	16	0
623697	1	65250	65250	65393	65393	0	1	1	15	15	1
623698	1	65449	65449	65492	65492	0	1	1	14	14	1
623699	1	97	97	49	49	0	1	1	13	13	0
623700	1	59	59	30	30	0	1	1	12	12	0
623701	1	71	71	36	36	0	1	1	11	11	0
623702	1	57	57	29	29	0	1	1	10	10	0
623703	1	65535	65535	65535	65535	0	1	1	9	9	1
623704	1	11	11	6	6	0	1	1	8	8	0
623705	1	65502	65502	65519	65519	0	1	1	7	7	1
623706	1	65402	65402	65469	65469	0	1	1	6	6	1
623707	1	215	215	108	108	0	1	1	5	5	0
623708	1	65488	65488	65512	65512	0	1	1	4	4	1
623709	1	65511	65511	65523	65523	0	1	1	3	3	1
623710	1	63	63	32	32	0	1	1	2	2	0
623711	1	39	39	20	20	0	1	1	1	1	0
624960	1	15	15	8	8	0	1	1	16	16	0
624961	1	65525	65525	65530	65530	0	1	1	15	15	1
624962	1	65527	65527	65531	65531	0	1	1	14	14	1
624963	1	243	243	122	122	0	1	1	13	13	0
624964	1	3921	3921	1961	1961	0	1	1	12	12	0
624965	1	249	249	125	125	0	1	1	11	11	0
624966	1	333	333	167	167	0	1	1	10	10	0
624967	1	65535	65535	65535	65535	0	1	1	9	9	1
624968	1	9	9	5	5	0	1	1	8	8	0
624969	1	65472	65472	65504	65504	0	1	1	7	7	1
624970	1	65471	65471	65503	65503	0	1	1	6	6	1
624971	1	471	471	236	236	0	1	1	5	5	0
624972	1	221	221	111	111	0	1	1	4	4	0
624973	1	65356	65356	65446	65446	0	1	1	3	3	1
624974	1	45	45	23	23	0	1	1	2	2	0
624975	1	65502	65502	65519	65519	0	1	1	1	1	1
625624	1	17	17	9	9	0	1	1	16	16	0
625625	1	65527	65527	65531	65531	0	1	1	15	15	1
625626	1	65527	65527	65531	65531	0	1	1	14	14	1
625627	1	123	123	62	62	0	1	1	13	13	0
625628	1	479	479	240	240	0	1	1	12	12	0
625629	1	105	105	53	53	0	1	1	11	11	0
625630	1	119	119	60	60	0	1	1	10	10	0
625631	1	65535	65535	65535	65535	0	1	1	9	9	1
625632	1	9	9	5	5	0	1	1	8	8	0
625633	1	65461	65461	65498	65498	0	1	1	7	7	1
625634	1	65509	65509	65522	65522	0	1	1	6	6	1
625635	1	151	151	76	76	0	1	1	5	5	0
625636	1	141	141	71	71	0	1	1	4	4	0
625637	1	65380	65380	65458	65458	0	1	1	3	3	1
625638	1	57	57	29	29	0	1	1	2	2	0
625639	1	65496	65496	65516	65516	0	1	1	1	1	1
627240	0	11	11	6	6	0	1	1	64	64	0
627241	0	13	13	32774	32774	0	1	1	63	63	0
631600	1	23	23	12	12	0	1	1	48	48	0
631601	1	64844	64844	65190	65190	0	1	1	47	47	1
631602	1	65519	65519	65527	65527	0	1	1	46	46	1
631603	1	60982	60982	63259	63259	0	1	1	45	45	1
631604	1	51	51	26	26	0	1	1	44	44	0
631605	1	605	605	303	303	0	1	1	43	43	0
631606	1	65523	65523	65529	65529	0	1	1	42	42	1
631607	1	143	143	72	72	0	1	1	41	41	0
631608	1	17	17	9	9	0	1	1	40	40	0
631609	1	65441	65441	65488	65488	0	1	1	39	39	1
631610	1	65525	65525	65530	65530	0	1	1	38	38	1
631611	1	64984	64984	65260	65260	0	1	1	37	37	1
631612	1	23	23	12	12	0	1	1	36	36	0
631613	1	65509	65509	65522	65522	0	1	1	35	35	1
631614	1	13	13	7	7	0	1	1	34	34	0
631615	1	65523	65523	65529	65529	0	1	1	33	33	1
631616	1	9	9	5	5	0	1	1	32	32	0
631617	1	65467	65467	65501	65501	0	1	1	31	31	1
631618	1	65474	65474	65505	65505	0	1	1	30	30	1
631619	1	53	53	27	27	0	1	1	29	29	0
631620	1	121	121	61	61	0	1	1	28	28	0
631621	1	47	47	24	24	0	1	1	27	27	0
631622	1	65505	65505	65520	65520	0	1	1	26	26	1
631623	1	65513	65513	65524	65524	0	1	1	25	25	1
631624	1	23	23	12	12	0	1	1	24	24	0
631625	1	65488	65488	65512	65512	0	1	1	23	23	1
631626	1	65519	65519	65527	65527	0	1	1	22	22	1
631627	1	31	31	16	16	0	1	1	21	21	0
631628	1	65507	65507	65521	65521	0	1	1	20	20	1
631629	1	37	37	19	19	0	1	1	19	19	0
631630	1	25	25	13	13	0	1	1	18	18	0
631631	1	65500	65500	65518	65518	0	1	1	17	17	1
631632	1	17	17	9	9	0	1	1	16	16	0
631633	1	65352	65352	65444	65444	0	1	1	15	15	1
631634	1	65486	65486	65511	65511	0	1	1	14	14	1
631635	1	43	43	22	22	0	1	1	13	13	0
631636	1	29	29	15	15	0	1	1	12	12	0
631637	1	35	35	18	18	0	1	1	11	11	0
631638	1	27	27	14	14	0	1	1	10	10	0
631639	1	65535	65535	65535	65535	0	1	1	9	9	1
631640	1	11	11	6	6	0	1	1	8	8	0
631641	1	65492	65492	65514	65514	0	1	1	7	7	1
631642	1	65494	65494	65515	65515	0	1	1	6	6	1
631643	1	127	127	64	64	0	1	1	5	5	0
631644	1	65519	65519	65527	65527	0	1	1	4	4	1
631645	1	65525	65525	65530	65530	0	1	1	3	3	1
631646	1	29	29	15	15	0	1	1	2	2	0
631647	1	25	25	13	13	0	1	1	1	1	0
632368	1	23	23	12	12	0	1	1	48	48	0
632369	1	65414	65414	65475	65475	0	1	1	47	47	1
632370	1	65527	65527	65531	65531	0	1	1	46	46	1
632371	1	64464	64464	65000	65000	0	1	1	45	45	1
632372	1	27	27	14	14	0	1	1	44	44	0
632373	1	161	161	81	81	0	1	1	43	43	0
632374	1	65513	65513	65524	65524	0	1	1	42	42	1
632375	1	47	47	24	24	0	1	1	41	41	0
632376	1	17	17	9	9	0	1	1	40	40	0
632377	1	65488	65488	65512	65512	0	1	1	39	39	1
632378	1	65527	65527	65531	65531	0	1	1	38	38	1
632379	1	65386	65386	65461	65461	0	1	1	37	37	1
