block,count,faction,seat,backend,treatment,score,winShare,firstProductiveProjectEra,productiveProjectEras,projectComputeGained,agiDeclared,capability,customers,trust,productions,report,reportSha256,outcomes,outcomesSha256
3,4,coalition_lab,1,weighted,research_deploy_plan_v1,21,1,,0,0,False,11,3,6,4,evidence/studies/simulation/20260906T215944642Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-3-1x4-research-deploy-plan-v1-d6784cdb-5bc5-4bbb-870e-6b763abd6c0e.json,sha256:27c3e73b0be688acf2934badc9a9d4ed30f212b277c2178a43b526c209bb08c0,evidence/studies/simulation/20260906T215944642Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-3-1x4-research-deploy-plan-v1-d6784cdb-5bc5-4bbb-870e-6b763abd6c0e-outcomes.json,sha256:984ecbcbe746c56df9ce09bba8e98aff05fd7d83ed6bef04ceba962ff2c6c6a5
4,4,coalition_lab,2,greedy,baseline,11,0,,0,0,False,5,2,6,4,evidence/studies/simulation/20260906T215944984Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-4-1x4-baseline-09f0ba24-0d97-49f7-bb38-896407863487.json,sha256:900e13f57ef01a72ff40ebdf51ae71d9e66f6be0d9e6c3e36c9b7bfdfc958266,evidence/studies/simulation/20260906T215944984Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-4-1x4-baseline-09f0ba24-0d97-49f7-bb38-896407863487-outcomes.json,sha256:a4f697e86930d73394dbc48f8b2b2e9f2fba96d19dfffc7a595a76ce2822a47b
4,4,coalition_lab,2,greedy,infrastructure_plan_v1,18,0,3,2,4,False,7,2,3,4,evidence/studies/simulation/20260906T215945338Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-4-1x4-infrastructure-plan-v1-34b99509-60dc-4876-b48e-8c3fc72ec78b.json,sha256:ce5099028bdd588d0ccb21725d545ab58c7ac4a4478c810f42226b5f42d01cd2,evidence/studies/simulation/20260906T215945338Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-4-1x4-infrastructure-plan-v1-34b99509-60dc-4876-b48e-8c3fc72ec78b-outcomes.json,sha256:cae19944703a6aea8e5cac505f365ebb86478c310e8baf0ffc54bd5b0301ffac
4,4,coalition_lab,2,greedy,research_deploy_plan_v1,22,1,,0,0,False,11,4,6,4,evidence/studies/simulation/20260906T215945684Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-4-1x4-research-deploy-plan-v1-56f776b0-2536-4001-92af-c594e17cdeff.json,sha256:323c8f69a178cabebf28ab678644790158a1bd6e1f3f7d77eeca82215da2971b,evidence/studies/simulation/20260906T215945684Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-4-1x4-research-deploy-plan-v1-56f776b0-2536-4001-92af-c594e17cdeff-outcomes.json,sha256:40e65bc9d782541911ad2c6ff077ead0a1388435e65da79bd418144543c4fb18
5,4,coalition_lab,2,weighted,baseline,14,0,,0,0,False,6,3,5,4,evidence/studies/simulation/20260906T215946044Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-5-1x4-baseline-76424585-9abe-44ab-b418-3575e1455930.json,sha256:e627d30ab83cb3af0253f5c6b23ba021221fcc274fef662d4982769d4f8d1b97,evidence/studies/simulation/20260906T215946044Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-5-1x4-baseline-76424585-9abe-44ab-b418-3575e1455930-outcomes.json,sha256:97ea7fb5bbd72f9efc2f7d4e1cff6198c36dd04c761d2b3fa8d6f802b30139e5
5,4,coalition_lab,2,weighted,infrastructure_plan_v1,12,0,,0,0,False,7,1,6,4,evidence/studies/simulation/20260906T215946414Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-5-1x4-infrastructure-plan-v1-62805eb3-5ec8-4e71-9cbc-ce43d0d2e92d.json,sha256:622e241a6e5cd1496537f986b704c62f4331423d92b2f73b2c609999b246cfc8,evidence/studies/simulation/20260906T215946414Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-5-1x4-infrastructure-plan-v1-62805eb3-5ec8-4e71-9cbc-ce43d0d2e92d-outcomes.json,sha256:49434ee7fa9533a916ba22eea94f526166c4b31b8ba1c6a917ecdee576460539
5,4,coalition_lab,2,weighted,research_deploy_plan_v1,12,0,,0,0,False,4,2,6,4,evidence/studies/simulation/20260906T215946771Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-5-1x4-research-deploy-plan-v1-52ecc4a3-1fd5-4096-bf61-8a98551be153.json,sha256:d46db29f5fe5cd47e503be788f51dd4923bd764bc4da087f54fb8e68c3c414d8,evidence/studies/simulation/20260906T215946771Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-5-1x4-research-deploy-plan-v1-52ecc4a3-1fd5-4096-bf61-8a98551be153-outcomes.json,sha256:6f4b1463a73b682d4bf3e66f91aff7d9d6f8632b57d44f58cd6b8e4cdec767e7
6,4,coalition_lab,3,greedy,baseline,17,0,,0,0,False,9,2,5,4,evidence/studies/simulation/20260906T215947123Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-6-1x4-baseline-1f010bd3-862e-4104-86fe-5c0ab918a16f.json,sha256:cc57f8dd18e843914327eee3ef82267175251a188eeaa2a9a18c81dbacf7fa80,evidence/studies/simulation/20260906T215947123Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-6-1x4-baseline-1f010bd3-862e-4104-86fe-5c0ab918a16f-outcomes.json,sha256:b43068796d451d29df9610d9131767983208cc44a57df83382b0e2a1b22c7471
6,4,coalition_lab,3,greedy,infrastructure_plan_v1,29,1,3,2,6,True,11,4,6,4,evidence/studies/simulation/20260906T215947477Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-6-1x4-infrastructure-plan-v1-f22ac549-7928-49af-be37-8a8349c3c0f4.json,sha256:52f4e0e49e30ab976fe77b13611924eed4485eba6245772e22792b68eabe767e,evidence/studies/simulation/20260906T215947477Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-6-1x4-infrastructure-plan-v1-f22ac549-7928-49af-be37-8a8349c3c0f4-outcomes.json,sha256:d61ed63315163b0a6da3c8d755cdc4f086a0834a16ab84c8db2a12c61f0f364c
6,4,coalition_lab,3,greedy,research_deploy_plan_v1,26,1,,0,0,False,12,4,6,4,evidence/studies/simulation/20260906T215947825Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-6-1x4-research-deploy-plan-v1-ee6e2357-5973-4155-a4b7-739ee25259a7.json,sha256:10138ee136e9f8401401377acb37e83f7af01b3421ea9e01075247a57dfedef5,evidence/studies/simulation/20260906T215947825Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-6-1x4-research-deploy-plan-v1-ee6e2357-5973-4155-a4b7-739ee25259a7-outcomes.json,sha256:2542e5aee0adf808a68356153027550ebc0eb8bbb6faf9005169e6618a5790de
7,4,coalition_lab,3,weighted,baseline,17,0,,0,0,False,9,3,6,4,evidence/studies/simulation/20260906T215948179Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-7-1x4-baseline-8cd4a2f0-3556-4184-9544-43cd35a8e66f.json,sha256:d90ee107a3b02c53067dd8c758cc172257ece3c33868b1b62e9080b0b709d475,evidence/studies/simulation/20260906T215948179Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-7-1x4-baseline-8cd4a2f0-3556-4184-9544-43cd35a8e66f-outcomes.json,sha256:2e3e34ddfda8403e9737e89733133191c13df68aefa931f6cb2bb738c5a8e7e5
7,4,coalition_lab,3,weighted,infrastructure_plan_v1,20,1,,0,0,False,12,2,6,4,evidence/studies/simulation/20260906T215948532Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-7-1x4-infrastructure-plan-v1-371ee034-4a0d-47d5-ad95-687a25f677ac.json,sha256:8f7f66d84399d8bf13c10579c483dc7f317602b22a6fa258649be94f8de0712e,evidence/studies/simulation/20260906T215948532Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-7-1x4-infrastructure-plan-v1-371ee034-4a0d-47d5-ad95-687a25f677ac-outcomes.json,sha256:7da97b1c07a23949daabe5425dacf359892da01456e99f4cebb747784913f62c
7,4,coalition_lab,3,weighted,research_deploy_plan_v1,14,0,,0,0,False,7,3,5,4,evidence/studies/simulation/20260906T215948879Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-7-1x4-research-deploy-plan-v1-7213bef9-ce2f-4d52-ba50-f4152d6255e6.json,sha256:6fd9297a8afcebe5e38c7cd1318f4ec2b6f07c1ece639f37d73135f595def00b,evidence/studies/simulation/20260906T215948879Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-7-1x4-research-deploy-plan-v1-7213bef9-ce2f-4d52-ba50-f4152d6255e6-outcomes.json,sha256:04bcf910987b6146d0695773e09f3ae5658730df0de6134daa82248120bba6de
8,4,platform_empire,0,greedy,baseline,14,0,,0,0,False,4,2,5,4,evidence/studies/simulation/20260906T215949218Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-8-1x4-baseline-54c65d80-cf9e-4778-a0d4-53f3267081a7.json,sha256:1edfd232cd2d3a7d6ac9d968cd0ac337357f1fc3d52a3dc8d32522fd84e09928,evidence/studies/simulation/20260906T215949218Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-8-1x4-baseline-54c65d80-cf9e-4778-a0d4-53f3267081a7-outcomes.json,sha256:3cdc5a44c2bf6f39cfb0bf2481cd13d2d26b3192e3523c992397c7078abc4f4a
8,4,platform_empire,0,greedy,infrastructure_plan_v1,19,0,3,2,6,False,8,3,4,4,evidence/studies/simulation/20260906T215949551Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-8-1x4-infrastructure-plan-v1-dd34a3f6-9d14-40d6-99f5-633699028339.json,sha256:8e4764bb4f1af6f01a456b4f9584578453b07e40023a39fad1f8caa2c9af12e2,evidence/studies/simulation/20260906T215949551Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-8-1x4-infrastructure-plan-v1-dd34a3f6-9d14-40d6-99f5-633699028339-outcomes.json,sha256:a39c956d29fb3ad0edd6a55d800bd37890dc3c520e1631e5891f3bef6e17d66b
8,4,platform_empire,0,greedy,research_deploy_plan_v1,20,0,,0,0,False,12,4,5,4,evidence/studies/simulation/20260906T215949883Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-8-1x4-research-deploy-plan-v1-c1edc461-f59e-4dcf-b0a8-447d67fab170.json,sha256:b70160eda08eb9cfd67b7a444f5c30646e1cc15fd3b2931a36aa80beee820cce,evidence/studies/simulation/20260906T215949883Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-8-1x4-research-deploy-plan-v1-c1edc461-f59e-4dcf-b0a8-447d67fab170-outcomes.json,sha256:be038b991ba919f4406b5d315c3dcc40d2c712d6222d314581582952894e0044
9,4,platform_empire,0,weighted,baseline,17,1,,0,0,False,11,3,6,4,evidence/studies/simulation/20260906T215950244Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-9-1x4-baseline-7f8ce708-8541-45d5-a919-1599d12e8126.json,sha256:750bd496baf39948e078c7b70b521c8a9c661a8ea401ecf12c3892008718194d,evidence/studies/simulation/20260906T215950244Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-9-1x4-baseline-7f8ce708-8541-45d5-a919-1599d12e8126-outcomes.json,sha256:39543697d71f4a9563aa5b16abfe09d046ec19627e7e23ef135913b133a2f53c
9,4,platform_empire,0,weighted,infrastructure_plan_v1,20,1,4,1,3,False,9,4,6,4,evidence/studies/simulation/20260906T215950594Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-9-1x4-infrastructure-plan-v1-f918d0b2-020a-4bdb-b707-4827713abf9b.json,sha256:2b3318d42e63364df54ff6e5578b1d05df5bb3324192e259d39833a948980516,evidence/studies/simulation/20260906T215950594Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-9-1x4-infrastructure-plan-v1-f918d0b2-020a-4bdb-b707-4827713abf9b-outcomes.json,sha256:1543c3c1c91f3d4fd388e8b6dc196c11cb867706f2ae0b6fac8977da5370f3e3
9,4,platform_empire,0,weighted,research_deploy_plan_v1,17,1,,0,0,False,10,4,5,4,evidence/studies/simulation/20260906T215950945Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-9-1x4-research-deploy-plan-v1-4ac34abd-2195-416b-b94d-309a88c52a15.json,sha256:1f04081b490f4dba7e875856debecc2a96005676dab91d3f0fbf9cec3ab90174,evidence/studies/simulation/20260906T215950945Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-9-1x4-research-deploy-plan-v1-4ac34abd-2195-416b-b94d-309a88c52a15-outcomes.json,sha256:eb41254623265c92cc77ee34772ddc27ab759127ad0a547d99fecbbe6ae7100e
10,4,platform_empire,1,greedy,baseline,11,0,,0,0,False,4,2,6,4,evidence/studies/simulation/20260906T215951286Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-10-1x4-baseline-eb0ae11f-8861-45a0-ad58-3b94ba2b63dc.json,sha256:fb21ea0f4469675608bd8ee734b2bf16a82e97ec4d785c5be2e778d17bacebcc,evidence/studies/simulation/20260906T215951286Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-10-1x4-baseline-eb0ae11f-8861-45a0-ad58-3b94ba2b63dc-outcomes.json,sha256:7a77edde4ebd5f9111568f347e70b38456911ab60ea69f29531adb9830854d90
10,4,platform_empire,1,greedy,infrastructure_plan_v1,26,1,3,2,3,True,10,3,3,4,evidence/studies/simulation/20260906T215951644Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-10-1x4-infrastructure-plan-v1-87182d91-937e-4058-b1cf-9318da8137a3.json,sha256:956791f3620a8004e8b9ca3931a32810f2af4395dfb996b7991566e3312e8488,evidence/studies/simulation/20260906T215951644Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-10-1x4-infrastructure-plan-v1-87182d91-937e-4058-b1cf-9318da8137a3-outcomes.json,sha256:75f85b05f47d150a4c197474c3d58c04dd323eb1211b75d0715860a702edecd3
10,4,platform_empire,1,greedy,research_deploy_plan_v1,23,1,,0,0,False,10,4,6,4,evidence/studies/simulation/20260906T215951984Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-10-1x4-research-deploy-plan-v1-04a81c73-6741-47b6-a5de-c5ed0ad03eda.json,sha256:ace3e64a178bb8372e9d9a581a72e4fadd39cc694de3d4db08536ce9a5b141e1,evidence/studies/simulation/20260906T215951984Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-10-1x4-research-deploy-plan-v1-04a81c73-6741-47b6-a5de-c5ed0ad03eda-outcomes.json,sha256:94410ba3eb65d11454c903350422fda1f773a42c33b6d5b50e3f42af41bb45a0
11,4,platform_empire,1,weighted,baseline,16,1,,0,0,False,7,3,6,4,evidence/studies/simulation/20260906T215952325Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-11-1x4-baseline-7b379cb2-6eff-45cb-915e-7ee9bcebc1f6.json,sha256:2203173809d4b0d939997e700337af4ca4e63a4c423d9b5a1f7c96f7aca1c0fd,evidence/studies/simulation/20260906T215952325Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-11-1x4-baseline-7b379cb2-6eff-45cb-915e-7ee9bcebc1f6-outcomes.json,sha256:38ab6c156cfe289d9688f5f801f51091716de408a2ade6f39f2754d835628cb6
11,4,platform_empire,1,weighted,infrastructure_plan_v1,18,0,3,2,6,False,12,4,3,4,evidence/studies/simulation/20260906T215952669Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-11-1x4-infrastructure-plan-v1-3287eed8-bf61-46b6-81fd-6354d56d421d.json,sha256:2ca516b88a9d65cc0df691ae6571cd000484dd422d8d830d6f065a9d0abf239a,evidence/studies/simulation/20260906T215952669Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-11-1x4-infrastructure-plan-v1-3287eed8-bf61-46b6-81fd-6354d56d421d-outcomes.json,sha256:db1aa1c780ecad2821f3730e5b3492a287fc3f698ad056918c67c29a18af9389
11,4,platform_empire,1,weighted,research_deploy_plan_v1,24,1,,0,0,False,12,4,6,4,evidence/studies/simulation/20260906T215953011Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-11-1x4-research-deploy-plan-v1-3b79cfc3-ce5c-4f30-9afb-911ae501c5aa.json,sha256:fa31128add27b5272f123c700f39a9cab4843429b2f29a0ad7564714c498589f,evidence/studies/simulation/20260906T215953011Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-11-1x4-research-deploy-plan-v1-3b79cfc3-ce5c-4f30-9afb-911ae501c5aa-outcomes.json,sha256:b73c932245c3483ae4b306b10eb42c0cf51f8ad5e878348182112f29c90a7fd0
12,4,platform_empire,2,greedy,baseline,17,0,,0,0,False,7,3,6,4,evidence/studies/simulation/20260906T215953349Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-12-1x4-baseline-03bd3a94-e175-4d97-aea9-db39711a3dd1.json,sha256:3d723fc29c8a66a9b132924fa105ef50d56ac4dd2af9ce81d6d122183b9aadbd,evidence/studies/simulation/20260906T215953349Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-12-1x4-baseline-03bd3a94-e175-4d97-aea9-db39711a3dd1-outcomes.json,sha256:74848fd6ea935c797d9ed3246a06b731c471602a619305babb8da1315fcaae6f
12,4,platform_empire,2,greedy,infrastructure_plan_v1,26,1,3,2,5,True,9,3,6,4,evidence/studies/simulation/20260906T215953694Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-12-1x4-infrastructure-plan-v1-53ecfb80-47f2-4b03-b973-6692dc420dbd.json,sha256:8ed0f05f994b3d2d86f608185c037b2c59fdfb641a158e8eafaf7b28180329f3,evidence/studies/simulation/20260906T215953694Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-12-1x4-infrastructure-plan-v1-53ecfb80-47f2-4b03-b973-6692dc420dbd-outcomes.json,sha256:2e94ceb5583658fb350c2092aebbfba83d46926154159e9ceb49e8bbe98a36b3
12,4,platform_empire,2,greedy,research_deploy_plan_v1,22,0,,0,0,False,10,4,6,4,evidence/studies/simulation/20260906T215954029Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-12-1x4-research-deploy-plan-v1-48d26bc8-caba-440b-be4d-baf3cffd5888.json,sha256:e2610b86e3226eb11792634fcba8fd5e3942de7716f1d9d534d78450a9694496,evidence/studies/simulation/20260906T215954029Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-12-1x4-research-deploy-plan-v1-48d26bc8-caba-440b-be4d-baf3cffd5888-outcomes.json,sha256:625df1f2a79fd798090ed42e03da47dc6c8199c3ce244a6fb88eabe069e2e106
