run_name,run_root,run_status,summary_source,timestamp_utc,updated_utc,source_langs,target_langs,eval_dataset_labels,eval_dataset_paths,pair_count,pairs_input_spec,schedule,total_steps,sft_steps,distill_steps,lambda_kd,mu_triplet,kd_temperature,margin,teacher_model,student_model,resumed,resume_stage,resume_from,resume_from_exists,selected_checkpoint,selected_checkpoint_exists,selected_checkpoint_stage,selected_checkpoint_loss,summary_path,latest_stage_a_checkpoint,latest_stage_a_checkpoint_exists,latest_stage_b_checkpoint,latest_stage_b_checkpoint_exists,final_model,final_model_exists,student_model_exists,recommended_resume_from,artifact_health,artifact_note,dataset_label
translategemma4b_es_en_gemma3_1b_savant_wmt12_lora_r16_lr1e5_steps1000_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_lora_r16_lr1e5_steps1000_20260710,completed,train_summary,2026-07-10 19:58:14 UTC,2026-07-10 19:58:26 UTC,,,,,6006,projects/distillation/translation/training_data/savant_wmt/sacrebleu_wmt12_en_es_bidirectional.local.jsonl,A_then_B,1000,1000,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface_gamma_rocm/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_balanced_lr2e6_kd005_steps400_20260710/mixed/checkpoint-000100,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_lora_r16_lr1e5_steps1000_20260710/stage_a/checkpoint-001000,true,stage_a,1.5391,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_lora_r16_lr1e5_steps1000_20260710/train_summary.json,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_lora_r16_lr1e5_steps1000_20260710/stage_a/checkpoint-001000,true,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_lora_r16_lr1e5_steps1000_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_wmt12_lora_r16_lr1e5_steps1000_20260710/stage_a/checkpoint-001000,ok,,sacrebleu_wmt12_en_es_bidirectional.local.jsonl
translategemma4b_es_en_gemma3_1b_savant_seqkd_news_esen2048_replay800_lr1e6_steps400_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqkd_news_esen2048_replay800_lr1e6_steps400_20260710,completed,train_summary,2026-07-10 19:46:10 UTC,2026-07-10 19:46:39 UTC,,,,,2848,projects/distillation/translation/training_data/savant_sequence/translategemma_news_esen2048_replay_enes800.local.jsonl,A_then_B,400,400,0,0.0000,0.0000,1.0000,0.2000,/home/x/.cache/huggingface_gamma_rocm/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_balanced_lr2e6_kd005_steps400_20260710/mixed/checkpoint-000100,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqkd_news_esen2048_replay800_lr1e6_steps400_20260710/stage_a/checkpoint-000400,true,stage_a,0.7047,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqkd_news_esen2048_replay800_lr1e6_steps400_20260710/train_summary.json,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqkd_news_esen2048_replay800_lr1e6_steps400_20260710/stage_a/checkpoint-000400,true,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqkd_news_esen2048_replay800_lr1e6_steps400_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_seqkd_news_esen2048_replay800_lr1e6_steps400_20260710/stage_a/checkpoint-000400,ok,,translategemma_news_esen2048_replay_enes800.local.jsonl
savant_translategemma_sequence_labels_news_esen_20260710,projects/distillation/translation/runs/savant_translategemma_sequence_labels_news_esen_20260710,contract_only,run_contract,2026-07-10 19:03:43 UTC,2026-07-10 19:40:41 UTC,,,projects/distillation/translation/training_data/savant_news/news_commentary_en_es.local.jsonl,projects/distillation/translation/training_data/savant_news/news_commentary_en_es.local.jsonl,,projects/distillation/translation/training_data/savant_news/news_commentary_en_es.local.jsonl,teacher_label_generation,,,,,,,,,,false,none,none,,,,,,projects/distillation/translation/runs/savant_translategemma_sequence_labels_news_esen_20260710/run_contract.txt,,,,,,,,,ok,,news_commentary_en_es.local.jsonl
savant_student_teacher_paired_20260710,projects/distillation/translation/runs/savant_student_teacher_paired_20260710,contract_only,run_contract,2026-07-10 16:58:54 UTC,2026-07-10 17:21:53 UTC,,,"external_wmt13_en_es_translation_benchmark_128,indomain_clean_merged_en_es_translation_benchmark_128","projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,projects/distillation/translation/training_data/translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl",,"projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,projects/distillation/translation/training_data/translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl",paired_eval,,,,,,,,,,true,stage_a,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1/stage_a/checkpoint-004000,true,,,,,projects/distillation/translation/runs/savant_student_teacher_paired_20260710/run_contract.txt,,,,,,,,,ok,,translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl
savant_student_beam4_20260710,projects/distillation/translation/runs/savant_student_beam4_20260710,contract_only,run_contract,2026-07-10 16:56:15 UTC,2026-07-10 16:57:46 UTC,,,external_wmt13_en_es_translation_benchmark_128,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,,projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,decode_eval,,,,,,,,,,true,stage_a,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1/stage_a/checkpoint-004000,true,,,,,projects/distillation/translation/runs/savant_student_beam4_20260710/run_contract.txt,,,,,,,,,ok,,translate_distill_pairs.eval2_wmt13_enes_128.jsonl
translategemma4b_es_en_gemma3_1b_savant_news_kddominant_sft005_kd010_lr2e6_steps400_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_news_kddominant_sft005_kd010_lr2e6_steps400_20260710,completed,train_summary,2026-07-10 16:50:13 UTC,2026-07-10 16:50:33 UTC,"en,es","en,es",,,4096,projects/distillation/translation/training_data/savant_news/news_commentary_en_es.local.jsonl,mixed_from_start,400,0,0,0.1000,0.0000,1.0000,0.2000,google/translategemma-4b-it,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1/stage_a/checkpoint-004000,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_news_kddominant_sft005_kd010_lr2e6_steps400_20260710/mixed/checkpoint-000400,true,mixed,0.1743,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_news_kddominant_sft005_kd010_lr2e6_steps400_20260710/train_summary.json,,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_news_kddominant_sft005_kd010_lr2e6_steps400_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_news_kddominant_sft005_kd010_lr2e6_steps400_20260710/mixed/checkpoint-000400,ok,,news_commentary_en_es.local.jsonl
translategemma4b_es_en_gemma3_1b_savant_news_nativekd_lr3e6_kd005_steps2000_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_news_nativekd_lr3e6_kd005_steps2000_20260710,completed,train_summary,2026-07-10 16:38:07 UTC,2026-07-10 16:38:39 UTC,"en,es","en,es",,,4096,projects/distillation/translation/training_data/savant_news/news_commentary_en_es.local.jsonl,mixed_from_start,2000,0,0,0.0500,0.0000,1.0000,0.2000,google/translategemma-4b-it,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1/stage_a/checkpoint-004000,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_news_nativekd_lr3e6_kd005_steps2000_20260710/mixed/checkpoint-001750,true,mixed,0.9695,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_news_nativekd_lr3e6_kd005_steps2000_20260710/train_summary.json,,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_news_nativekd_lr3e6_kd005_steps2000_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_news_nativekd_lr3e6_kd005_steps2000_20260710/mixed/checkpoint-001750,ok,,news_commentary_en_es.local.jsonl
translategemma4b_es_en_gemma3_1b_savant_nativekd_balanced_lr2e6_kd005_steps400_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_balanced_lr2e6_kd005_steps400_20260710,completed,train_summary,2026-07-10 16:09:13 UTC,2026-07-10 16:09:36 UTC,"en,es","en,es",,,1600,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p05/pack_06/frozen_best5.pack_06.replace05.jsonl,mixed_from_start,400,0,0,0.0500,0.0000,1.0000,0.2000,google/translategemma-4b-it,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1/stage_a/checkpoint-004000,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_balanced_lr2e6_kd005_steps400_20260710/mixed/checkpoint-000100,true,mixed,0.0960,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_balanced_lr2e6_kd005_steps400_20260710/train_summary.json,,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_balanced_lr2e6_kd005_steps400_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_balanced_lr2e6_kd005_steps400_20260710/mixed/checkpoint-000100,ok,,frozen_best5.pack_06.replace05.jsonl
translategemma4b_es_en_gemma3_1b_savant_nativekd_esen_lr2e6_kd005_steps400_20260710,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_esen_lr2e6_kd005_steps400_20260710,completed,train_summary,2026-07-10 15:57:44 UTC,2026-07-10 15:58:46 UTC,es,en,,,800,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p05/pack_06/frozen_best5.pack_06.replace05.jsonl,mixed_from_start,400,0,0,0.0500,0.0000,1.0000,0.2000,google/translategemma-4b-it,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1/stage_a/checkpoint-004000,false,None,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_esen_lr2e6_kd005_steps400_20260710/mixed/checkpoint-000100,true,mixed,0.1355,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_esen_lr2e6_kd005_steps400_20260710/train_summary.json,,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_esen_lr2e6_kd005_steps400_20260710/final,true,true,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_savant_nativekd_esen_lr2e6_kd005_steps400_20260710/mixed/checkpoint-000100,ok,,frozen_best5.pack_06.replace05.jsonl
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_v1,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_v1,contract_only,run_contract,2026-07-10 00:55:02 UTC,2026-07-10 00:55:02 UTC,,,"external_wmt13_en_es_translation_benchmark_128,indomain_clean_merged_en_es_translation_benchmark_128","projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,projects/distillation/translation/training_data/translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl",,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p10/pack_06/frozen_best5.pack_06.replace10.compat.jsonl,A_then_B,,,,,,,,,,false,none,none,,,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_v1/run_contract.txt,,,,,,,,,ok,,frozen_best5.pack_06.replace10.compat.jsonl
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfdl_v1,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfdl_v1,contract_only,run_contract,2026-07-10 00:55:02 UTC,2026-07-10 00:55:02 UTC,,,"external_wmt13_en_es_translation_benchmark_128,indomain_clean_merged_en_es_translation_benchmark_128","projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,projects/distillation/translation/training_data/translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl",,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p10/pack_06/frozen_best5.pack_06.replace10.compat.jsonl,A_then_B,,,,,,,,,,false,none,none,,,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfdl_v1/run_contract.txt,,,,,,,,,ok,,frozen_best5.pack_06.replace10.compat.jsonl
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcache_v1,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcache_v1,contract_only,run_contract,2026-07-10 00:55:01 UTC,2026-07-10 00:55:01 UTC,,,"external_wmt13_en_es_translation_benchmark_128,indomain_clean_merged_en_es_translation_benchmark_128","projects/distillation/translation/training_data/translate_distill_pairs.eval2_wmt13_enes_128.jsonl,projects/distillation/translation/training_data/translate_distill_pairs.eval3_indomain_clean_merged_128.jsonl",,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p10/pack_06/frozen_best5.pack_06.replace10.compat.jsonl,A_then_B,,,,,,,,,,false,none,none,,,,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcache_v1/run_contract.txt,,,,,,,,,ok,,frozen_best5.pack_06.replace10.compat.jsonl
