run_name,run_status,dataset_label,model_role,result_category,display_category,display_label,short_run_name,chart_label,pair_count,pairs_input_spec,schedule,group_label,eval_variant,eval_checkpoint,decode,external_bleu,external_chrf,indomain_bleu,evaluated_model
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1,completed,train_pairs.rows1568.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-003000 | greedy,stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1,Student Stage A | stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1,1568,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1/inputs/train_pairs.rows1568.normalized.jsonl,A_then_B,stage_a__checkpoint-003000,stage_a,checkpoint-003000,greedy,32.9055,59.4631,54.8940,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1/stage_a/checkpoint-003000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,completed,train_pairs.rows1584.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-003500 | greedy,stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,Student Stage A | stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,1584,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1/inputs/train_pairs.rows1584.normalized.jsonl,A_then_B,stage_a__checkpoint-003500,stage_a,checkpoint-003500,greedy,32.8755,58.9218,53.8487,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1/stage_a/checkpoint-003500
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2240_bf16_confirm_best7,completed,train_pairs.rows2240.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-002000 | greedy,stagea_goldgrid_rows2240_bf16_confirm_best7,Student Stage A | stagea_goldgrid_rows2240_bf16_confirm_best7,2240,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2240_bf16_confirm_best7/inputs/train_pairs.rows2240.merged.jsonl,A_then_B,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.8224,59.4068,52.5391,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2240_bf16_confirm_best7/stage_a/checkpoint-002000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,completed,train_pairs.rows1600.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,Student Stage A | stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,1600,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1/inputs/train_pairs.rows1600.normalized.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.7297,58.9897,55.5104,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexpolish_pack06_prune10_ckpt3000_lr5e6_v1,completed,train_pairs.rows1568.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-001000 | greedy,stagea_goldgrid_rows1568_bf16_codexpolish_pack06_prune10_ckpt3000_lr5e6_v1,Student Stage A | stagea_goldgrid_rows1568_bf16_codexpolish_pack06_prune10_ckpt3000_lr5e6_v1,1568,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexpolish_pack06_prune10_ckpt3000_lr5e6_v1/inputs/train_pairs.rows1568.normalized.jsonl,A_then_B,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,32.7147,59.3117,55.0160,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexpolish_pack06_prune10_ckpt3000_lr5e6_v1/stage_a/checkpoint-001000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T212756Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T212756Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.7139,59.0468,54.9631,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T212756Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcacheauth_v1,completed,frozen_best5.pack_06.replace10.compat.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcacheauth_v1,Student Stage A | stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcacheauth_v1,1600,projects/distillation/translation/training_data/frozen_best5_refine/frozen_best5.p10/pack_06/frozen_best5.pack_06.replace10.compat.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.6083,58.6464,53.9959,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack06_replace10c_hfcacheauth_v1/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_studentonly_v1,completed,train_pairs.rows1600.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_studentonly_v1,Student Stage A | stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_studentonly_v1,1600,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_studentonly_v1/inputs/train_pairs.rows1600.normalized.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.5811,58.9875,54.0417,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_studentonly_v1/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_defer_studentonly_v1,completed,train_pairs.rows1600.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_defer_studentonly_v1,Student Stage A | stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_defer_studentonly_v1,1600,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_defer_studentonly_v1/inputs/train_pairs.rows1600.normalized.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.5811,58.9875,54.0417,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexlow_pack04_replace10_defer_studentonly_v1/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_prune10_studentonly_v1,completed,train_pairs.rows1568.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1568_bf16_codexlow_pack04_prune10_studentonly_v1,Student Stage A | stagea_goldgrid_rows1568_bf16_codexlow_pack04_prune10_studentonly_v1,1568,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_prune10_studentonly_v1/inputs/train_pairs.rows1568.normalized.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.4720,59.3062,54.0130,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_prune10_studentonly_v1/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T233133Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T233133Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.4566,59.1020,55.9867,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T233133Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T025326Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T025326Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.4485,59.0578,53.0189,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T025326Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T180127Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T180127Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.4032,59.4588,53.2763,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T180127Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_random10_defer_studentonly_v1,completed,train_pairs.rows1568.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1568_bf16_codexlow_pack06_random10_defer_studentonly_v1,Student Stage A | stagea_goldgrid_rows1568_bf16_codexlow_pack06_random10_defer_studentonly_v1,1568,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_random10_defer_studentonly_v1/inputs/train_pairs.rows1568.normalized.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.3319,58.8561,53.7752,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack06_random10_defer_studentonly_v1/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_random10_defer_studentonly_v1,completed,train_pairs.rows1568.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1568_bf16_codexlow_pack04_random10_defer_studentonly_v1,Student Stage A | stagea_goldgrid_rows1568_bf16_codexlow_pack04_random10_defer_studentonly_v1,1568,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_random10_defer_studentonly_v1/inputs/train_pairs.rows1568.normalized.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.3030,58.9223,55.4039,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexlow_pack04_random10_defer_studentonly_v1/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_codexblend_pack06r10_pack08_v1,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-002000 | greedy,stagea_goldgrid_rows1920_bf16_codexblend_pack06r10_pack08_v1,Student Stage A | stagea_goldgrid_rows1920_bf16_codexblend_pack06r10_pack08_v1,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_codexblend_pack06r10_pack08_v1/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.2180,58.7093,52.8574,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_codexblend_pack06r10_pack08_v1/stage_a/checkpoint-002000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T200534Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-002000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T200534Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.2113,58.5552,54.3861,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T200534Z/stage_a/checkpoint-002000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T192425Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-002000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T192425Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.1940,58.7046,52.7203,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T192425Z/stage_a/checkpoint-002000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T062002Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T062002Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.0130,58.8506,55.3247,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T062002Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T212318Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T212318Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.9598,59.3118,54.6568,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T212318Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_confirm_best4,completed,train_pairs.rows1280.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1280_bf16_confirm_best4,Student Stage A | stagea_goldgrid_rows1280_bf16_confirm_best4,1280,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_confirm_best4/inputs/train_pairs.rows1280.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.9541,58.5046,52.5660,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_confirm_best4/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T224540Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T224540Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.8923,58.2847,55.3129,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T224540Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T232655Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T232655Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.8746,58.5722,54.1434,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T232655Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexseed7_pack06_prune10_defer_studentonly_v1,completed,train_pairs.rows1568.normalized.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1568_bf16_codexseed7_pack06_prune10_defer_studentonly_v1,Student Stage A | stagea_goldgrid_rows1568_bf16_codexseed7_pack06_prune10_defer_studentonly_v1,1568,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexseed7_pack06_prune10_defer_studentonly_v1/inputs/train_pairs.rows1568.normalized.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.8697,58.7989,53.9366,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexseed7_pack06_prune10_defer_studentonly_v1/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T004931Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-002000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T004931Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.8592,58.3089,50.7787,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T004931Z/stage_a/checkpoint-002000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T225020Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T225020Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.5726,58.1760,56.0758,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T225020Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T070121Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T070121Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.5262,58.4166,54.4294,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T070121Z/stage_a/checkpoint-004000
